split,model,fold,n,n_pos,n_neg,accuracy,precision,recall,f1,mcc,auc_roc,auc_pr
cv,CatBoost,1,320,231,89,0.821875,0.84251968503937,0.9264069264069265,0.8824742268041237,0.5282044668377048,0.8842356145726932,0.9495547786091028
cv,LGBM,1,320,231,89,0.81875,0.8314176245210728,0.9393939393939394,0.8821138211382114,0.514193254300063,0.8651685393258427,0.9429915612197577
cv,RF,1,320,231,89,0.8,0.797153024911032,0.9696969696969697,0.875,0.450960036915029,0.8814874264312467,0.9491820672247367
cv,SVM,1,320,231,89,0.825,0.8352490421455939,0.9437229437229437,0.8861788617886179,0.5321779347433924,0.8547108322389221,0.9295370858027487
cv,GB,1,320,231,89,0.803125,0.8414634146341463,0.8961038961038961,0.8679245283018868,0.4866198127595883,0.8533245780436791,0.9359446689215032
cv,XGB,1,320,231,89,0.8,0.8353413654618473,0.9004329004329005,0.8666666666666667,0.4742273835683653,0.8659467872951019,0.9425788906075934
cv,MLP,1,320,231,89,0.828125,0.8728813559322034,0.8917748917748918,0.8822269807280514,0.5648856870965252,0.85553772070626,0.9236348717380912
cv,Adaboost,1,320,231,89,0.740625,0.7534246575342466,0.9523809523809523,0.8413001912045889,0.22738198031599993,0.7695899606011966,0.8997642018323284
cv,LR,1,320,231,89,0.759375,0.8104838709677419,0.8701298701298701,0.8392484342379958,0.3670166612882478,0.7978500899849215,0.9034163063073404
cv,CatBoost,2,319,231,88,0.8275862068965517,0.8666666666666667,0.9004329004329005,0.8832271762208068,0.555824728843809,0.8801406926406927,0.9386588682853213
cv,LGBM,2,319,231,88,0.8307210031347962,0.8470588235294118,0.935064935064935,0.8888888888888888,0.5489706993834121,0.8696625344352616,0.9375258442519496
cv,RF,2,319,231,88,0.8244514106583072,0.8252788104089219,0.961038961038961,0.888,0.5248814447734322,0.8881837859110586,0.9540488857465453
cv,SVM,2,319,231,88,0.8119122257053292,0.8518518518518519,0.8961038961038961,0.8734177215189873,0.5109494495708049,0.8690722156631246,0.9421707458497233
cv,GB,2,319,231,88,0.8119122257053292,0.8976744186046511,0.8354978354978355,0.8654708520179372,0.5582602687303653,0.8809277843368752,0.9470777014600584
cv,XGB,2,319,231,88,0.8307210031347962,0.8798283261802575,0.8874458874458875,0.8836206896551724,0.5733686096285934,0.8843713105076741,0.9460235750200516
cv,MLP,2,319,231,88,0.8056426332288401,0.8658008658008658,0.8658008658008658,0.8658008658008658,0.5135281385281385,0.8334563164108618,0.9122383927838467
cv,Adaboost,2,319,231,88,0.7523510971786834,0.7550335570469798,0.974025974025974,0.8506616257088847,0.26039871759355215,0.7752115308933492,0.8927795522903704
cv,LR,2,319,231,88,0.7836990595611285,0.8022388059701493,0.9307359307359307,0.8617234468937875,0.40057290052321665,0.8062524596615506,0.9028427385434447
cv,CatBoost,3,319,230,89,0.8369905956112853,0.8503937007874016,0.9391304347826087,0.8925619834710744,0.5702884215893456,0.8957987298485589,0.9575968243936637
cv,LGBM,3,319,230,89,0.8025078369905956,0.8014440433212996,0.9652173913043478,0.8757396449704142,0.46060003652883935,0.8769418661455789,0.943329627502918
cv,RF,3,319,230,89,0.8213166144200627,0.8168498168498168,0.9695652173913043,0.8866799204771372,0.5206084978792315,0.8857352222765023,0.9507308872747939
cv,SVM,3,319,230,89,0.8056426332288401,0.823076923076923,0.9304347826086956,0.8734693877551021,0.47775656440383013,0.8497313141182219,0.9333024532687171
cv,GB,3,319,230,89,0.8213166144200627,0.8502024291497976,0.9130434782608695,0.8805031446540881,0.5335487807726255,0.8521739130434782,0.9321361575940047
cv,XGB,3,319,230,89,0.8369905956112853,0.8503937007874016,0.9391304347826087,0.8925619834710744,0.5702884215893456,0.8826575476306789,0.9475095936122235
cv,MLP,3,319,230,89,0.7899686520376176,0.8299595141700404,0.8913043478260869,0.859538784067086,0.44995248358870227,0.8286761113825111,0.9233841139697656
cv,Adaboost,3,319,230,89,0.7178683385579937,0.7592592592592593,0.8913043478260869,0.82,0.20022420387230988,0.7350512945774303,0.8629996461542495
cv,LR,3,319,230,89,0.7617554858934169,0.7789855072463768,0.9347826086956522,0.849802371541502,0.3275277156874637,0.756179775280899,0.8913532993040428
cv,CatBoost,4,319,230,89,0.8181818181818182,0.8257575757575758,0.9478260869565217,0.8825910931174089,0.5117110837052267,0.8620908646800196,0.9349859607334517
cv,LGBM,4,319,230,89,0.8181818181818182,0.8257575757575758,0.9478260869565217,0.8825910931174089,0.5117110837052267,0.8680019540791403,0.9396869827464216
cv,RF,4,319,230,89,0.8087774294670846,0.8028673835125448,0.9739130434782609,0.8801571709233792,0.48205672760661306,0.8574499267220322,0.9334982130791865
cv,SVM,4,319,230,89,0.8056426332288401,0.8157894736842105,0.9434782608695652,0.875,0.4734568390167097,0.846800195407914,0.928695685134365
cv,GB,4,319,230,89,0.7899686520376176,0.8622222222222222,0.8434782608695652,0.8527472527472527,0.48713854506884235,0.8401807523204691,0.9282251823774523
cv,XGB,4,319,230,89,0.8244514106583072,0.83984375,0.9347826086956522,0.8847736625514403,0.5341292494394746,0.8587689301416708,0.9334305762571504
cv,MLP,4,319,230,89,0.8150470219435737,0.8607594936708861,0.8869565217391304,0.8736616702355461,0.5297495370149286,0.8357107962872498,0.9006346655725807
cv,Adaboost,4,319,230,89,0.7429467084639498,0.7761194029850746,0.9043478260869565,0.8353413654618473,0.2817045589248884,0.7553981436248168,0.8921407541481845
cv,LR,4,319,230,89,0.7586206896551724,0.776173285198556,0.9347826086956522,0.8481262327416174,0.3159011224082853,0.7714704445530044,0.8900493830318045
cv,CatBoost,5,319,230,89,0.8526645768025078,0.8704453441295547,0.9347826086956522,0.9014675052410901,0.6171450779565485,0.8965315095261359,0.9542771916023262
cv,LGBM,5,319,230,89,0.8526645768025078,0.8505747126436781,0.9652173913043478,0.9042769857433809,0.6128409342948913,0.8854421104054715,0.944578876971509
cv,RF,5,319,230,89,0.8181818181818182,0.8138686131386861,0.9695652173913043,0.8849206349206349,0.5109225679730782,0.9023448949682462,0.9582310908448011
cv,SVM,5,319,230,89,0.8181818181818182,0.844,0.9173913043478261,0.8791666666666667,0.5220009140783377,0.8790913531998047,0.9494156218178624
cv,GB,5,319,230,89,0.8275862068965517,0.8923766816143498,0.8652173913043478,0.8785871964679912,0.5823611056409264,0.8774792379091353,0.9447357363183753
cv,XGB,5,319,230,89,0.8526645768025078,0.8616600790513834,0.9478260869565217,0.9026915113871635,0.6140181838609787,0.8929164631167563,0.9524704978640315
cv,MLP,5,319,230,89,0.8275862068965517,0.8571428571428571,0.9130434782608695,0.8842105263157894,0.5523111420847391,0.8517830972154372,0.9317171620792906
cv,Adaboost,5,319,230,89,0.8119122257053292,0.8294573643410853,0.9304347826086956,0.8770491803278688,0.4973054179019226,0.8168050806057645,0.9171371498403603
cv,LR,5,319,230,89,0.7586206896551724,0.8,0.8869565217391304,0.8412371134020619,0.3515780254266079,0.8022960429897411,0.9174169452351753
