split,model,fold,n,n_pos,n_neg,accuracy,precision,recall,f1,mcc,auc_roc,auc_pr
cv,CatBoost,1,320,231,89,0.83125,0.8314606741573034,0.961038961038961,0.891566265060241,0.5489344216442779,0.8582372683496279,0.9319160611875841
cv,LGBM,1,320,231,89,0.809375,0.8195488721804511,0.9437229437229437,0.8772635814889336,0.4838060876060541,0.8505520696531933,0.9255654434942858
cv,RF,1,320,231,89,0.79375,0.7935943060498221,0.9653679653679653,0.87109375,0.4296411993004908,0.8596478427939103,0.9335081885310672
cv,SVM,1,320,231,89,0.821875,0.8295454545454546,0.948051948051948,0.8848484848484849,0.5217392162628707,0.8375650566661803,0.9154789077132404
cv,GB,1,320,231,89,0.7875,0.8528138528138528,0.8528138528138528,0.8528138528138528,0.47079138090374045,0.8255508536407413,0.9115179752648003
cv,XGB,1,320,231,89,0.828125,0.8358778625954199,0.948051948051948,0.8884381338742393,0.5407560542743243,0.8519140035993968,0.9303545560786772
cv,MLP,1,320,231,89,0.81875,0.8559670781893004,0.9004329004329005,0.8776371308016878,0.5316304903716362,0.8335035750766088,0.9100552001924023
cv,Adaboost,1,320,231,89,0.759375,0.7916666666666666,0.9047619047619048,0.8444444444444444,0.33818979981155295,0.7672308964443797,0.8766457121137451
cv,LR,1,320,231,89,0.771875,0.7724137931034483,0.9696969696969697,0.8598848368522073,0.35068098935866876,0.7805097524198648,0.8931985676179293
cv,CatBoost,2,319,231,88,0.8213166144200627,0.8849557522123894,0.8658008658008658,0.87527352297593,0.5609062460235277,0.87482782369146,0.9409606998727844
cv,LGBM,2,319,231,88,0.8056426332288401,0.8535564853556485,0.8831168831168831,0.8680851063829788,0.5004882180089856,0.8661206218024401,0.9403705128203798
cv,RF,2,319,231,88,0.7962382445141066,0.8097014925373134,0.9393939393939394,0.8697394789579158,0.438848400078977,0.8792552144824872,0.952604711551915
cv,SVM,2,319,231,88,0.7962382445141066,0.82421875,0.9134199134199135,0.86652977412731,0.45138166639084853,0.8741391184573002,0.947754135901139
cv,GB,2,319,231,88,0.8369905956112853,0.8942731277533039,0.8787878787878788,0.8864628820960698,0.5979385301671004,0.8747294372294372,0.9413692221504335
cv,XGB,2,319,231,88,0.8307210031347962,0.8864628820960698,0.8787878787878788,0.8826086956521739,0.5793288068168996,0.8696625344352618,0.9401617487439158
