split,model,fold,accuracy,precision,recall,f1,mcc,auc_roc,auc_pr,n
cv_mean,Adaboost,mean,0.7531406739811912,0.7746588482333292,0.930498776585733,0.844870472540638,0.29340297572173457,0.7704112020605114,0.8929642608530985,1596
cv_std,Adaboost,std,0.03149417532804061,0.02855941468993773,0.030310150403942682,0.018926689540468052,0.10568197130534662,0.027025264260373844,0.017488042622936132,1596
cv_mean,CatBoost,mean,0.8314596394984326,0.8511565944761138,0.9297157914549219,0.8884643969709007,0.5566347557865269,0.88375948225362,0.9470147247247731,1596
cv_std,CatBoost,std,0.012356457218347265,0.0163273180027383,0.016190906358862157,0.007532295238242782,0.036537639402688574,0.012577118041117151,0.008782797188604832,1596
cv_mean,GB,mean,0.8107817398119123,0.8687878332450334,0.8706681724073029,0.8690465948378312,0.5295857025944695,0.8608172531307273,0.9376238893342788,1596
cv_std,GB,std,0.013315119095308272,0.022476729864631742,0.029828166180777937,0.010019871613634585,0.03813399735079593,0.015740189806130407,0.007228050975787765,1596
cv_mean,LGBM,mean,0.8245650470219437,0.8312505559546075,0.9505439488048182,0.886722086771661,0.5296632016424866,0.8730434008782589,0.9416225785385113,1596
cv_std,LGBM,std,0.01666469481395929,0.017561055174281456,0.012664352954830382,0.009713750644938252,0.05024466790204967,0.007318277359927594,0.0026098886205516395,1596
cv_mean,LR,mean,0.7644141849529781,0.7935762938765649,0.9114775079992471,0.848027519763393,0.3525192850667643,0.7868097624940233,0.9010157344843617,1596
cv_std,LR,std,0.009710794301838658,0.013549354558504806,0.027451951507278857,0.00792363835951199,0.02995222269541024,0.019561303532322834,0.009916893876579042,1596
cv_mean,MLP,mean,0.8132739028213166,0.8573088173433705,0.8897760210803689,0.8730877654294676,0.5220853976626068,0.8410328084004639,0.9183218412287151,1596
cv_std,MLP,std,0.01435208748899312,0.014659726730586015,0.015036379069131363,0.00942596663361463,0.0402009537453996,0.010624275933910623,0.010799389305516618,1596
cv_mean,RF,mean,0.8145454545454545,0.8112035297642004,0.9687558817993601,0.8829515452642301,0.49788585502947685,0.8830402512618173,0.9491382288340127,1596
cv_std,RF,std,0.008967051625720918,0.01003996786281441,0.004203400462397175,0.004781225597442645,0.027812335136607344,0.014585362944377256,0.008413599305702037,1596
cv_mean,SVM,mean,0.8132758620689655,0.8339934581517159,0.9262262375305854,0.8774465275458748,0.503268340362615,0.8598811821255975,0.9366243183746834,1596
cv_std,SVM,std,0.0074821879793391085,0.013199889279903518,0.017927020867476925,0.004842457142241312,0.02360190555447736,0.012283080413432618,0.007981317934799635,1596
cv_mean,XGB,mean,0.8289655172413793,0.853413444296178,0.9219235836627142,0.8860629027463034,0.5532063696173515,0.8769322077383764,0.9444026266722101,1596
cv_std,XGB,std,0.017254027848308415,0.01603501454492898,0.023592078879359633,0.011854022057660606,0.04689990602347379,0.01260317660168526,0.006341658556316683,1596
