split,model,fold,accuracy,precision,recall,f1,mcc,auc_roc,auc_pr,n
cv_mean,Adaboost,mean,0.7531,0.7747,0.9305,0.8449,0.2934,0.7704,0.8930,1596
cv_std,Adaboost,std,0.0315,0.0286,0.0303,0.0189,0.1057,0.0270,0.0175,1596
cv_mean,CatBoost,mean,0.8315,0.8512,0.9297,0.8885,0.5566,0.8838,0.9470,1596
cv_std,CatBoost,std,0.0124,0.0163,0.0162,0.0075,0.0365,0.0126,0.0088,1596
cv_mean,GB,mean,0.8108,0.8688,0.8707,0.8690,0.5296,0.8608,0.9376,1596
cv_std,GB,std,0.0133,0.0225,0.0298,0.0100,0.0381,0.0157,0.0072,1596
cv_mean,LGBM,mean,0.8246,0.8313,0.9505,0.8867,0.5297,0.8730,0.9416,1596
cv_std,LGBM,std,0.0167,0.0176,0.0127,0.0097,0.0502,0.0073,0.0026,1596
cv_mean,LR,mean,0.7644,0.7936,0.9115,0.8480,0.3525,0.7868,0.9010,1596
cv_std,LR,std,0.0097,0.0135,0.0275,0.0079,0.0300,0.0196,0.0099,1596
cv_mean,MLP,mean,0.8133,0.8573,0.8898,0.8731,0.5221,0.8410,0.9183,1596
cv_std,MLP,std,0.0144,0.0147,0.0150,0.0094,0.0402,0.0106,0.0108,1596
cv_mean,RF,mean,0.8145,0.8112,0.9688,0.8830,0.4979,0.8830,0.9491,1596
cv_std,RF,std,0.0090,0.0100,0.0042,0.0048,0.0278,0.0146,0.0084,1596
cv_mean,SVM,mean,0.8133,0.8340,0.9262,0.8774,0.5033,0.8599,0.9366,1596
cv_std,SVM,std,0.0075,0.0132,0.0179,0.0048,0.0236,0.0123,0.0080,1596
cv_mean,XGB,mean,0.8290,0.8534,0.9219,0.8861,0.5532,0.8769,0.9444,1596
cv_std,XGB,std,0.0173,0.0160,0.0236,0.0119,0.0469,0.0126,0.0063,1596
