split,model,fold,n,n_pos,n_neg,accuracy,precision,recall,f1,mcc,auc_roc,auc_pr
cv,CatBoost,1,320,231,89,0.76875,0.8398268398268398,0.8398268398268398,0.8398268398268398,0.42409650274818816,0.8427939102096406,0.9390002368143724
cv,LGBM,1,320,231,89,0.765625,0.7954545454545454,0.9090909090909091,0.8484848484848485,0.35654474145668474,0.8299528187168635,0.931732979012295
cv,RF,1,320,231,89,0.7875,0.7963636363636364,0.948051948051948,0.8656126482213439,0.410959570619153,0.8535434602850334,0.9411068248450516
cv,SVM,1,320,231,89,0.7625,0.803921568627451,0.8874458874458875,0.8436213991769548,0.362679342344087,0.8223649010165865,0.9267859314195765
cv,GB,1,320,231,89,0.7625,0.8384279475982532,0.8311688311688312,0.8347826086956521,0.4126380678724965,0.825526533391702,0.9288567243355723
cv,XGB,1,320,231,89,0.775,0.8382978723404255,0.8528138528138528,0.8454935622317596,0.43202786922486297,0.8409942117807288,0.9364484353475651
cv,MLP,1,320,231,89,0.771875,0.8526785714285714,0.8268398268398268,0.8395604395604396,0.4459200291082709,0.8353519140035994,0.9332782173898532
cv,Adaboost,1,320,231,89,0.7375,0.7525773195876289,0.948051948051948,0.8390804597701149,0.21705393750783594,0.74288632715599,0.8936214124101183
cv,LR,1,320,231,89,0.728125,0.7748091603053435,0.8787878787878788,0.8235294117647058,0.2510855167262452,0.7464370835157352,0.8807744909880965
cv,CatBoost,2,319,231,88,0.8150470219435737,0.8583333333333333,0.8917748917748918,0.8747346072186837,0.5233269120364089,0.8678915781188509,0.9362366111489855
cv,LGBM,2,319,231,88,0.8056426332288401,0.8237547892720306,0.9307359307359307,0.8739837398373984,0.47280542884465016,0.8544126328217237,0.9372275931646956
cv,RF,2,319,231,88,0.8244514106583072,0.8252788104089219,0.961038961038961,0.888,0.5248814447734322,0.8707693821330186,0.9462007689372277
cv,SVM,2,319,231,88,0.7931034482758621,0.8210116731517509,0.9134199134199135,0.8647540983606558,0.44128600083023317,0.844573986619441,0.9352683526529846
cv,GB,2,319,231,88,0.7899686520376176,0.8727272727272727,0.8311688311688312,0.8514412416851441,0.4955925380731453,0.8607831562377016,0.9425851261825674
cv,XGB,2,319,231,88,0.7962382445141066,0.8547008547008547,0.8658008658008658,0.8602150537634409,0.4846873548800872,0.8596271153089334,0.9407886336672582
