split,model,fold,accuracy,precision,recall,f1,mcc,auc_roc,auc_pr,n
cv_mean,Adaboost,mean,0.7324529780564264,0.7442383261025756,0.9600451722190853,0.8381501641112628,0.16355438468312478,0.7395935307753045,0.8815905756660418,1596
cv_std,Adaboost,std,0.005946225913795976,0.011349279518228223,0.024325397261790813,0.0035720951203897806,0.08384882819914628,0.020728260250310684,0.015379087268777595,1596
cv_mean,CatBoost,mean,0.805787617554859,0.8463482821124488,0.8932768680594767,0.8689432527981245,0.49841010495981186,0.8601927889211941,0.9392976828170958,1596
cv_std,CatBoost,std,0.021005136350143457,0.01244311969932272,0.02785081008554093,0.01568749427242676,0.0479951661458357,0.016927716766673186,0.0064776252866502355,1596
cv_mean,GB,mean,0.7926253918495296,0.8514236173325271,0.8637718802936195,0.8572164475333203,0.47949176982421127,0.8429189970367748,0.9321589252718236,1596
cv_std,GB,std,0.016599042093618635,0.011530517868378611,0.02858355821915999,0.013286446956554602,0.03422379884025596,0.015988768505618988,0.007160008966806248,1596
cv_mean,LGBM,mean,0.798266065830721,0.8149316830547699,0.9323131940523244,0.8696420052537537,0.452617022608402,0.8526913609476783,0.9373257987092328,1596
cv_std,LGBM,std,0.016839149405126184,0.010943701669661523,0.014044312998293673,0.010929619681229602,0.04974786489753231,0.01752314414405536,0.005954781084546158,1596
cv_mean,LR,mean,0.7312049373040752,0.7468560174297605,0.9522981366459626,0.8362858687541946,0.1770520125441563,0.75363311885373,0.8871052933997072,1596
cv_std,LR,std,0.008199350989823372,0.017963973006085134,0.03937842228131373,0.006843198000375739,0.06966876353893857,0.01523603297115367,0.006835936890159547,1596
cv_mean,MLP,mean,0.7963812695924765,0.8452797738871436,0.8802522115565594,0.8618123575799823,0.47802484515995997,0.8417995210737361,0.9296088988663751,1596
cv_std,MLP,std,0.018083815043579702,0.022079525233271547,0.029557077430112016,0.012883776374935131,0.050210430258296176,0.00835517338124293,0.004817726727983054,1596
cv_mean,RF,mean,0.8076567398119122,0.8117110088418578,0.9557312252964426,0.8777293080255424,0.4754932132966843,0.8629524561240599,0.9414533124594536,1596
cv_std,RF,std,0.016133156584021917,0.016132047306827355,0.008410331475385412,0.009121085517344842,0.0506974359082541,0.016452054043340467,0.007203976899317909,1596
cv_mean,SVM,mean,0.7800862068965516,0.8121490380796089,0.905390551477508,0.8559265167632981,0.40874800826714147,0.8322934932086907,0.9290378901071865,1596
cv_std,SVM,std,0.010118170993965602,0.014083565836540331,0.0218413654665713,0.007117995533879236,0.03168583870977745,0.015412054493772653,0.008595879104962418,1596
cv_mean,XGB,mean,0.8045297805642633,0.8478083625833477,0.8889403350272914,0.867703043655325,0.49698615304531585,0.8574569473915524,0.939907611711388,1596
cv_std,XGB,std,0.019572805171784315,0.012220411372226195,0.02454129344549467,0.014255011586994229,0.04668523643589125,0.01640900101203449,0.006656663788661899,1596
