split,model,fold,accuracy,precision,recall,f1,mcc,auc_roc,auc_pr,n
cv_mean,Adaboost,mean,0.7325,0.7442,0.9600,0.8382,0.1636,0.7396,0.8816,1596
cv_std,Adaboost,std,0.0059,0.0113,0.0243,0.0036,0.0838,0.0207,0.0154,1596
cv_mean,CatBoost,mean,0.8058,0.8463,0.8933,0.8689,0.4984,0.8602,0.9393,1596
cv_std,CatBoost,std,0.0210,0.0124,0.0279,0.0157,0.0480,0.0169,0.0065,1596
cv_mean,GB,mean,0.7926,0.8514,0.8638,0.8572,0.4795,0.8429,0.9322,1596
cv_std,GB,std,0.0166,0.0115,0.0286,0.0133,0.0342,0.0160,0.0072,1596
cv_mean,LGBM,mean,0.7983,0.8149,0.9323,0.8696,0.4526,0.8527,0.9373,1596
cv_std,LGBM,std,0.0168,0.0109,0.0140,0.0109,0.0497,0.0175,0.0060,1596
cv_mean,LR,mean,0.7312,0.7469,0.9523,0.8363,0.1771,0.7536,0.8871,1596
cv_std,LR,std,0.0082,0.0180,0.0394,0.0068,0.0697,0.0152,0.0068,1596
cv_mean,MLP,mean,0.7964,0.8453,0.8803,0.8618,0.4780,0.8418,0.9296,1596
cv_std,MLP,std,0.0181,0.0221,0.0296,0.0129,0.0502,0.0084,0.0048,1596
cv_mean,RF,mean,0.8077,0.8117,0.9557,0.8777,0.4755,0.8630,0.9415,1596
cv_std,RF,std,0.0161,0.0161,0.0084,0.0091,0.0507,0.0165,0.0072,1596
cv_mean,SVM,mean,0.7801,0.8121,0.9054,0.8559,0.4087,0.8323,0.9290,1596
cv_std,SVM,std,0.0101,0.0141,0.0218,0.0071,0.0317,0.0154,0.0086,1596
cv_mean,XGB,mean,0.8045,0.8478,0.8889,0.8677,0.4970,0.8575,0.9399,1596
cv_std,XGB,std,0.0196,0.0122,0.0245,0.0143,0.0467,0.0164,0.0067,1596
