split,model,fold,accuracy,precision,recall,f1,mcc,auc_roc,auc_pr,n
cv_mean,Adaboost,mean,0.7606524294670847,0.7789017866389737,0.9349256540560889,0.8495178908729331,0.3169631751121206,0.7531122819756965,0.8797278611881545,1596
cv_std,Adaboost,std,0.024481838246179697,0.02233140344715852,0.016560206264958015,0.013544917220401477,0.09225131319506866,0.02437841471480494,0.010286409940497376,1596
cv_mean,CatBoost,mean,0.8201684952978056,0.8479521091870966,0.9166723131940522,0.8802472087079654,0.5310742606835797,0.872084440000792,0.9425103740130879,1596
cv_std,CatBoost,std,0.011760315100024118,0.02152271667759425,0.03197596191356565,0.00864265643373012,0.035770194597033664,0.010213838438044439,0.007951288780343266,1596
cv_mean,GB,mean,0.7901018808777429,0.8441907847954946,0.8715377376246941,0.8572989701332782,0.4621862251262705,0.8351610899278217,0.9241031269362802,1596
cv_std,GB,std,0.03478384158853212,0.03477747243167351,0.01676193695431651,0.021770310444969004,0.10139175334963989,0.029471142212162058,0.014757605952369761,1596
cv_mean,LGBM,mean,0.8107778213166144,0.8279659731978466,0.9323244871070958,0.8766396456297727,0.494860077335778,0.8625431362393436,0.936850689925903,1596
cv_std,LGBM,std,0.008053476438401028,0.01384774064549776,0.026147649506254995,0.006637175349824947,0.022977561132970507,0.012419292033531511,0.008827556018765278,1596
cv_mean,LR,mean,0.7687950626959248,0.7790127643304897,0.9496480331262939,0.8557218520540486,0.3441934912189538,0.7765941947277161,0.8938715959987817,1596
cv_std,LR,std,0.011662675029404771,0.014094777888531387,0.013891362211837873,0.00629460799944004,0.041066256092456815,0.014740351200313126,0.008486521259990942,1596
cv_mean,MLP,mean,0.8063832288401255,0.8582916925467645,0.8776209297948429,0.8673422576064663,0.5108102543703377,0.8358063263216037,0.9175146008026441,1596
cv_std,MLP,std,0.014447553273126858,0.019828150961439937,0.026705300866819357,0.010505819402878884,0.04010087104911158,0.010359293731628664,0.010096047457673226,1596
cv_mean,RF,mean,0.80451802507837,0.8062406429429222,0.9600828157349897,0.8763960413681359,0.4662265925362357,0.8604479294816596,0.9376587428440576,1596
cv_std,RF,std,0.01008498895345998,0.008472942566969049,0.011388376177709254,0.006178140702994344,0.03336319436924687,0.023360403538059463,0.015940983745133745,1596
cv_mean,SVM,mean,0.81014302507837,0.8278534874611777,0.9305552418595896,0.8761294846442782,0.49149496497648626,0.8507140641404753,0.9316013829672721,1596
cv_std,SVM,std,0.008470667578215114,0.004856347528320991,0.014773565063000729,0.006238621635511666,0.02324142698653868,0.014685468764889445,0.010981366756677977,1596
cv_mean,XGB,mean,0.823932210031348,0.849540206670803,0.9201505740636176,0.8829484870030978,0.5390929122957606,0.8641589812757152,0.9369370758060607,1596
cv_std,XGB,std,0.006148698502802662,0.01952396589212982,0.022804259246893777,0.003543388008882554,0.024908677321384798,0.009532983320806893,0.006608504569641266,1596
