split,model,fold,accuracy,precision,recall,f1,mcc,auc_roc,auc_pr,n
cv_mean,Adaboost,mean,0.7607,0.7789,0.9349,0.8495,0.3170,0.7531,0.8797,1596
cv_std,Adaboost,std,0.0245,0.0223,0.0166,0.0135,0.0923,0.0244,0.0103,1596
cv_mean,CatBoost,mean,0.8202,0.8480,0.9167,0.8802,0.5311,0.8721,0.9425,1596
cv_std,CatBoost,std,0.0118,0.0215,0.0320,0.0086,0.0358,0.0102,0.0080,1596
cv_mean,GB,mean,0.7901,0.8442,0.8715,0.8573,0.4622,0.8352,0.9241,1596
cv_std,GB,std,0.0348,0.0348,0.0168,0.0218,0.1014,0.0295,0.0148,1596
cv_mean,LGBM,mean,0.8108,0.8280,0.9323,0.8766,0.4949,0.8625,0.9369,1596
cv_std,LGBM,std,0.0081,0.0138,0.0261,0.0066,0.0230,0.0124,0.0088,1596
cv_mean,LR,mean,0.7688,0.7790,0.9496,0.8557,0.3442,0.7766,0.8939,1596
cv_std,LR,std,0.0117,0.0141,0.0139,0.0063,0.0411,0.0147,0.0085,1596
cv_mean,MLP,mean,0.8064,0.8583,0.8776,0.8673,0.5108,0.8358,0.9175,1596
cv_std,MLP,std,0.0144,0.0198,0.0267,0.0105,0.0401,0.0104,0.0101,1596
cv_mean,RF,mean,0.8045,0.8062,0.9601,0.8764,0.4662,0.8604,0.9377,1596
cv_std,RF,std,0.0101,0.0085,0.0114,0.0062,0.0334,0.0234,0.0159,1596
cv_mean,SVM,mean,0.8101,0.8279,0.9306,0.8761,0.4915,0.8507,0.9316,1596
cv_std,SVM,std,0.0085,0.0049,0.0148,0.0062,0.0232,0.0147,0.0110,1596
cv_mean,XGB,mean,0.8239,0.8495,0.9202,0.8829,0.5391,0.8642,0.9369,1596
cv_std,XGB,std,0.0061,0.0195,0.0228,0.0035,0.0249,0.0095,0.0066,1596
